album ,value,number
Cousin Eddie,,0
Cousin Eddie,,1
Cousin Eddie,"""Zig Zags And Louie Tags""",2
Cousin Eddie,Weekend,3
Cousin Eddie,Mighty Joe Young,4
Cousin Eddie,Excuse Me,5
Cousin Eddie,Work,6
Cousin Eddie,,7
Cousin Eddie,,8
1MillionBlunts,,0
1MillionBlunts,MasterBedroom,1
1MillionBlunts,MarbleFloors,2
1MillionBlunts,BluntsInTheGraveyard,3
1MillionBlunts,BabyBlueVeleour,4
1MillionBlunts,SilkSheets,5
1MillionBlunts,TheLivingForest,6
1MillionBlunts,Phantom,7
1MillionBlunts,,8
Creep,Gold Chevrolet,0
Creep,White Noise,1
Creep,Windows 95,2
Creep,Dead Girl,3
Creep,Pixelated Tears,4
Creep,Penthouse,5
Creep,Dracula,6
Creep,Floppy Disc,7
Creep,Marble  ,8
Paid Programming,Jonathan Taylor Thomas,0
Paid Programming,American Beauty,1
Paid Programming,Skin,2
Paid Programming,Blink 187,3
Paid Programming,Teen Girl Dies At Rave,4
Paid Programming,Teenage Boy,5
Paid Programming,281-330-8004,6
Paid Programming,Severe Weather Warning,7
Paid Programming,Grandfathers Ring  ,8
TeenWitch,FearTheNobodies,0
TeenWitch,RampartRange,1
TeenWitch,WitchBoy,2
TeenWitch,TheCafeteria,3
TeenWitch,Reb&Vodka,4
TeenWitch,BombsInTheLunchroom ,5
TeenWitch,Cotton,6
TeenWitch,ParkingLotWitness ,7
TeenWitch,Klebold ,8
Garbage,Lay Me In The River,0
Garbage,,1
Garbage,,2
Garbage,,3
Garbage,Corduroy,4
Garbage,,5
Garbage,,6
Garbage,,7
Garbage,You Can Tell A Lot About A Man By The Neck Of His Shirt ,8
Skinny,HollisterJeans,0
Skinny,TheNoiseInsideMyHead,1
Skinny,,2
Skinny,,3
Skinny,WhereTheTreesMeetTheFreeway ,4
Skinny,,5
Skinny,,6
Skinny,DeadInDesignerClothes,7
Skinny,ShrimpPizza ,8
Powder,,0
Powder,The Healing Fields,1
Powder,Upon The Dying Grass,2
Powder,"Hey Sorry, I Was In The Shower",3
Powder,Himalayan Salt,4
Powder,Just Another Day At The Office,5
Powder,Here Goes Nothing,6
Powder,Chlorella,7
Powder,,8
PaidProgramming2,,0
PaidProgramming2,,1
PaidProgramming2,Rocks,2
PaidProgramming2,Biodegradable,3
PaidProgramming2,,4
PaidProgramming2,Black Mold ,5
PaidProgramming2,Maggots,6
PaidProgramming2,,7
PaidProgramming2,,8
Unrendered,,0
Unrendered,CtrlAltDelete,1
Unrendered,,2
Unrendered,SunnyDay,3
Unrendered,LifeRuiner,4
Unrendered,TheGrandestNothing,5
Unrendered,,6
Unrendered,TakingOutTheTrash,7
Unrendered,,8
OFFLINE,,0
OFFLINE,StateOfEmergency,1
OFFLINE,FatherTime,2
OFFLINE,,3
OFFLINE,,4
OFFLINE,,5
OFFLINE,ChampagneInTheGraveyard,6
OFFLINE,Kerosene,7
OFFLINE,,8
InLovingMemory,,0
InLovingMemory,RainCloudsFollowMe,1
InLovingMemory,ChatLog,2
InLovingMemory,DemolitionFreestylePt3,3
InLovingMemory,SawedOff,4
InLovingMemory,EverybodysFavoriteScumbag ,5
InLovingMemory,InLovingMemory,6
InLovingMemory,GoHardHuh,7
InLovingMemory,,8
Jones Peak,,0
Jones Peak,,1
Jones Peak,YellowStone,2
Jones Peak,80sMontage,3
Jones Peak,WhereFromBro?,4
Jones Peak,Away,5
Jones Peak,SwishaHouse ,6
Jones Peak,,7
Jones Peak,,8